"KANNADA","Read In KANNADA","ENGLISH","Unnamed"
"ಹೆತ್ತವರು","hettavaru","parents",""
"ದಿನ","dina","day",""
"ಕೇಳಿ","keli","listen",""
"ಸುಂದರ","sundara","beautiful",""
"ದುಃಖ","dukha","sad",""
"ಧೈರ್ಯ","dhyrya","Brave",""
"ಸ್ವಾಗತ","swaagata","welcome",""
"ಸರಿ","sari","ok",""
"ಹೌದು","hwdu","yes",""
"ಅತಿಥಿ","atithi","guest",""
"ಹೂಗಳು","hoogalu","flowers",""
"ಆಹಾರ","ahaara","food",""
"ಮಕ್ಕಳು","makkalu","children",""
"ರಸ್ತೆ","rasthe","road",""
"ಬಟ್ಟೆ","batte","cloth",""
"ಮನೆ","mane","home/house",""
"ಸರ್ವಜನಿಕ","saarvajanika","public",""
"ಸ್ನಾನ","snaana","bath",""
"ಬೆಳಿಗ್ಗೆ","beligge","morning",""
"ವಿಶ್ರಾಂತಿ","vishranthi","relax",""
"ಕಾಡು","kaadu","forest",""
"ಸಂಜೆ","sanje","evening",""
"ವಿಳಾಸ","vilaasa","address",""
"ಕುರ್ಚಿ","kurchi","chair",""
"ಚಿಕ್ಕ","chikka","small",""
"ಅಂಗಡಿ","angadi","shop",""
"ಅಂಗಡಿ ಮಾಲಿಕ","angadi maalika","shopkeeper",""
"ಕೊಳೆ","kole","dirt",""
"ಕ್ರೀಡಾಪಟು","kreedaapatu","sports man",""
"ತಲೆನೋವು","talenovu","headache",""
"ತಂಪು","tampu","cold",""
"ಬಿಸಿ","bisi","hot",""
"ಮಳೆ","male","rain",""
"ಶಬ್ದ","shabdha","voice",""
"ದುರ್ಬಲ","dhurbhala","weak",""
"ತಿಂಗಳು","tingalu","month",""
"ವರ್ಷ","varsha","year",""
"ಉತ್ತಮ","uttama","best",""
"ಸೊಳ್ಳೆ","solle","mosquito",""
"ಜ್ವರ","jwara","fever",""
"ಗಾಳಿ","gaali","air/wind",""
"ಪ್ರಾಣಿ","praani","animal",""
"ದೊಡ್ಡ","dhodda","big",""
"ವೇಗ","vega","fast",""
"ಕೋಪ","kopa","angry",""
"ಕೂದಲು","koodhalu","hair",""
"ಕುಟುಂಬ","kutumba","family",""
"ಮಗ","maga","son",""
"ಮಗಳು","magalu","daughter",""
"ಬಿಳಿ","bili","white",""
"ನೀಲಿ","neeli","blue",""
"ಕೇಸರಿ","kesari","orange",""
"ಕೆಂಪು","kenpu","red",""
"ಕಪ್ಪು","kappu","black",""
"ಹಳದಿ","haladhi","yellow",""
"ಕಂದು","kandhu","brown",""
"ಆಕಾಶ","akaasha","sky",""
"ತೊಂದರೆ","tondare","trouble",""
"ಸೇವೆ","seve","service",""
"ಅಪಾಯಕಾರಿ","apaayakaari","dangerous",""
"ನಿಧಾನ","nidhaana","slow",""
"ನಿರಪರಾಧಿ","niraparaadhi","innocent",""
"ಗೀತೆ/ಪದ್ಯ","geete/padhya","song",""
"ಮೀಸಲು","meesalaati","reserve",""
"ಖರ್ಚು","khhar chu","spend",""
"ಆಮದು","aamadu","import",""
"ರಫ್ತು","rafthu","export",""
"ಬೆಲೆ","bele","cost",""
"ಮೌಲ್ಯ","moulya","value",""
"ನಗರ","nagara","City/urban",""
"ಗ್ರಾಮ/ಹಳ್ಳಿ","graama/halli","village/rural",""
"ಜಿಲ್ಲೆ","jille","district",""
"ದೇಶ","desha","country",""
"ಪ್ರಯಾಣ","prayaana","journey",""
"ವಾಹನ","vaahana","vehicle",""
"ಪ್ರವಾಸ","pravaasa","tour",""
"ಕಳ್ಳ","kalla","thief",""
"ಹೊಟ್ಟೆ","hotte","stomach/belly",""
"ಜೋರಾಗಿ","joraagi","loud",""
"ಕತ್ತರಿಸು","kattarisu","cut",""
"ಅಡಗಿಸು","adagisu","hide",""
"ಹೊಡೆ","hode","hit",""
"ಉಗುಳು","ugulu","spit",""
"ಹಾಡು","haadu","Sing",""
"ಈಜು","eeju","swim",""
"ಕುಡಿ","kudi","drink",""
"ಪ್ರಾರಂಭಿಸು","praarambhisu/aarambisu","begin",""
"ಕೊಡು","kodu","give",""
"ಆಹ್ವಾನಿಸು","aahwaanisu","invite",""
"ಹಿಡಿ","hidi","hold",""
"ಕಟ್ಟು","kattu","tie",""
"ಇಚ್ಚಿಸು","ichhisu","wish",""
"ತೂಕ","thooka","weight",""
"ಬೀಳು/ಉದುರು","beelu/uduru","fall",""
"ಹೊಡೆ","hode","beat",""
"ಎಚ್ಚರವಾಗು","echharavaagu","wake",""
"ಬಿಸಾಡು","beesaadu","throw",""
"ಕೋಳಿಮರಿ","koli mari","chicken",""
"ಕೋಳಿ","koli","hen",""
"ಕುದುರೆ","kudhure","horse",""
"ತೋಳ","tola","wolf",""
"ನರಿ","nari","fox",""
"ಆಡು","aadu","goat",""
"ಕಪ್ಪೆ","kappe","frog",""
"ಹಸು","hasu","cow",""
"ಗಿಳಿ","gili","parrot",""
"ನವಿಲು","navilu","peacock",""
"ಕಾನೂನು","kanoonu","law",""
"ಹುಟ್ಟು","huttu","born",""
"ವಶಪಡಿಸು","vashapadisu","seize",""
"ಮರುಭೂಮಿ","marubhoomi","desert",""
"ಹೊಯಿಗೆ/ಮರಳು","hoyige/maralu","sand",""
"ಬೇರು","beru","root",""
"ಸರಿಪಡಿಸು","saripadisu","heal",""
"ಅರ್ದ","ardha","half",""
"ಕೊಲ್ಲು","kollu","kill",""
"ಹೆಂಡತಿ","hendathi","wife",""
"ಗಂಡ","ganda","husband",""
"ಜೇಬು","jebu","pocket",""
"ಹತ್ತಿ","hatti","cotton",""
"ಜಮೀನ್ದಾರ","jameendaara","landlord",""
"ಕೊಡೆ","kode","umbrella",""
"ಇಂಧನ","indhana","fuel",""
"ಕಬ್ಬಿಣ","kabbina","iron",""
"ಕನ್ನಡಿ","kannadi","mirror",""
"ಬೀಗ","beega","lock",""
"ಹೊಸ","hosa","new",""
"ಹಳೆಯ","haleya/haleyaddu","old",""
"ಉತ್ತರ ದಿಕ್ಕು","uttara dikku","north",""
"ದಕ್ಷಿಣ ದಿಕ್ಕು","dakshina dikku","South",""
"ಪೂರ್ವ ದಿಕ್ಕು","poorva dikku","east",""
"ಪಶ್ಚಿಮ ದಿಕ್ಕು","pashchima dikku","west",""
"ಮೀನು","meenu","fish",""
"ಕೊಠಡಿ","kotadi","room",""
"ಬಣ್ಣ","banna","colour",""
"ಮೂಲಕ","moolaka","through",""
"ಕೇವಲ","kevala","just",""
"ವಾಕ್ಯ","vaakya","sentence",""
"ರಕ್ತ","raktha","blood",""
"ಚಿನ್ನ","chinna","gold",""
"ಧೈರ್ಯ","dhirya","brave",""
"ಕಥೆ","kathe","story",""
"ಮೀಸಲಾತಿ","meesalaati","reservation",""
"ಉಸಿರು","usiru","breath",""
"ಹೇಳು","helu","tell",""
"ಗಂಭೀರ","ghambheera","serious",""
"ಬೆಳ್ಳಿ","belli","silver",""
"ವಜ್ರ","vajra","diamond",""
"ಮುತ್ತು","muttu","pearl",""
"ವಿಚಿತ್ರ","vichitra","strange",""
"ಸೇರಿಸು","serisu","add",""
"ದೊಡ್ಡ","dhodda","large/big",""
"ಭೂಮಿ","bhoomi","Earth",""
"ಅನುಸರಿಸು","anusarisu","follow",""
"ಚಿತ್ರ","chitra","picture",""
"ಪ್ರಯತ್ನಿಸು","prayathnisu","try",""
"ಮತ್ತೊಮ್ಮೆ","mattomme","again",""
"ವಿಶ್ವ","vishwa","world",""
"ಸ್ವಯಂ","swayam","self",""
"ಯಾವುದೇ","yavude","any",""
"ಭಾಗ","bhaaga","part",""
"ತೆಗೆ","thege","take",""
"ಸ್ಥಾನ","sthaana","place",""
"ಎಲ್ಲಿ","elli","where",""
"ನಂತರ","nantara","after",""
"ಪ್ರತಿ","pratee","every",""
"ಉತ್ತಮ","uttama","good",""
"ನಮ್ಮ","namma","our",""
"ಮಹಾನ್","mahaan","great",""
"ಅಪ್ಪ","appa","father",""
"ಅಮ್ಮ","amma","mother",""
"ಅಜ್ಜ","ajja","grandfather/ grandpa",""
"ಅಜ್ಜಿ","ajji","grandmother/ grandma",""
"ಅಣ್ಣ-ತಮ್ಮ","anna-thamma","brother",""
"ಅಕ್ಕ-ತಂಗಿ","akka-thangi","sister",""
"ಚಿಕ್ಕಪ್ಪ ದೊಡ್ಡಪ್ಪ ಮಾವ","chikkappa-dhodappa-maava","uncle",""
"ಚಿಕ್ಕಮ್ಮ ದೊಡ್ಡಮ್ಮ ಅತ್ತೆ","chikkamma-dhodamma-atte","aunty",""
"ನಾನು","naanu","I/I’m",""
"ಅವನು","avanu","he",""
"ಅವರು","avaru","they",""
"ಅವಳು/ಇವಳು","avalu/avalu","she",""
"ನೀನು/ನೀವು","neenu/neevu","you",""
"ಇದು","idhu","this/it",""
"ಅದು","adhu","that",""
"ನಾವು","naavu","we",""
"ಬಾ/ಬನ್ನಿ","baa/banni","come",""
"ಹೋಗಿ/ಹೋಗು","hogi/hogu","go",""
"ಕುಳಿತುಕೊಳ್ಳಿ","kulitukolli","sit",""
"ಹೌದು","howdhu","yes",""
"ಇಲ್ಲ","illa","no",""
"ಅಲ್ಲಿ","alli","there",""
"ಇಲ್ಲಿ","illi","here",""
"ಹೇಗೆ","hege","how",""
"ಗೊತ್ತು","gottu","know",""
"ಹೆಸರು","hesaru","name",""
"ಯಾಕೆ","yaake","why",""
"ಯಾವಾಗ","yavaaga","when",""
"ಯಾರು","yaaru","who",""
"ನಮ್ಮ","namma","our",""
"ನಿಮ್ಮದು","nimmadhu","your",""
"ಕೊಡಿ","kodi","give",""
"ಬೇಗ","bega","fast",""
"ಈಗ","eega","now",""
"ನಿಲ್ಲು","nillu","stop",""
"ಒಳಗೆ","olage","inside",""
"ಹೊರಗೆ","horage","outside",""
"ಕಾದು ನಿಲ್ಲು","kaadhu nillu","wait",""
"ಆಹಾರ","ahaara","food",""
"ಕೆಳಗೆ","kelage","down",""
"ಮೇಲೆ","mele","up",""
"ಹಾಲು","haalu","milk",""
"ಅಕ್ಕಿ","akki","rice",""
"ಗೋಧಿ","godhi","wheat",""
"ತರಕಾರಿ","tarakaati","vegetable",""
"ಮೊಟ್ಟೆ","motte","egg",""
"ಉಪ್ಪು","uppu","salt",""
"ಸಕ್ಕರೆ","sakkare","sugar",""
"ಬೇರೆ ಏನಾದರೂ","bere enaadharoo","anything else?",""
"ಸಾಕು","saaku","enough",""
"ಈಗ ಬರುತ್ತೇನೆ","eega baruttene","just coming",""
"ಬೇಗ ಬಾ","bega baa","come quick",""
"ಒಳಗೆ ಬಾ","olage baa","come in",""
"ನಿಮ್ಮ ಇಷ್ಟದಂತೆ","nimma ishtadhante","as you like",""
"ಬೇರೇನೂ ಇಲ್ಲ","berenoo illa","nothing",""
"ಜಾಗೃತಿಯಾಗಿರು","jaagruteyaagiru","be careful",""
"ಇಲ್ಲವೇ ಇಲ್ಲ","illave illa","not at all",""
"ಮುಂದಕ್ಕೆ ಬಾ","mundhakke baa","come forward",""
"ಸುಮ್ಮನೆ ಇರು","summane iru","be quiet",""
"ಮಾತನಾಡಬೇಡ","maathanaadabeda","don’t talk",""
"ಸುಳ್ಳು ಹೇಳಬೇಡ","sullu helbeda","don’t lie",""
"ಮರೆಯಬೇಡ","mareyabeda","don’t forget",""
"ಹೊರಗೆ ಹೋಗು","horage hogu","get out",""
"ಕೆಳಗೆ ಬಾ","kelage baa","come down",""
"ಬಾಗಿಲು ಮುಚ್ಚು","baagilu muchu","shut the door",""
"ಕಿಟಕಿ ಮುಚ್ಚು","kitaki muchu","shut the window",""
"ಬಾಗಿಲು ತೆಗೆ","baagilu thege","open the door",""
"ಇಲ್ಲಿ ಕುಳಿತುಕೋ","illi kulithukoo","sit here",""
"ಕುಳಿತುಕೋ","kulithukoo","sit down",""
"ನಿಂತುಕೊಳ್ಳಿ","ninthukolli","stand up",""
"ಕಾಫಿ ತಗೊಳ್ಳಿ","kaafi thagolli","have coffee",""
"ದಯವಿಟ್ಟು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ","dhayavittu artha maadkolli","please understand",""
"ಕೆಟ್ಟ","ketta","bad",""
"ಅಭ್ಯಾಸ","abhyaasa","habit",""
"ಹೇಳು","helu","tell",""
"ಸತ್ಯ ಹೇಳು","sathya helu","say truth",""
"ಸಾಲು","saaalu","line",""
"ಮೊದಲು","modhalu","before",""
"ನಂತರ","nanthara","after",""
"ಕಡ್ಡಾಯವಾಗಿ","kaddaayavaagi","mandatory",""
"ಅಳವಡಿಸು","ಅಳವಡಿಸು","ಅಳವಡಿಸು",""
"ಉದ್ದೇಶಗಳು","uddheshagalu","objectives",""
"ತಂತ್ರ","thantra","strategy",""
"ತಂತ್ರಗಳು","thantragalu","strategies",""
"ಕ್ಷಮಾಪಣೆ","ksamaapane","apologies",""
"ಸಾಧಿಸು","saadhisu","accomplish",""
"ಸಾಧಿಸಿದೆ","saadhiside","accomplished",""
"ನಿಶ್ಚಿತ ವಧು/ಪ್ರೇಯಸಿ","nishchita vadhu/preyasi","fiancee",""
"ಉತ್ತಮ","uttama","fine",""
"ವರ್ಗಾವಣೆ","vargaavane","transfer",""
"ವರ್ಗಾಯಿಸಲಾಗಿದೆ","vargaayisalaagide","transferred",""
"ಸೇತುವೆ","sethuve","bridge",""
"ಹಿಂದೆ","hindhe","behind/back",""
"ತನಕ","thanaka","till",""
"ನೂರರ ತನಕ","noorara thanaka","till hundred",""
"ಪೂರ್ಣಗೊಳಿಸು","poornagolisu","complete",""
"ಪೂರ್ಣಗೊಳಿಸಿದೆ","poornagolisidhe","completed",""
"ಪೂರ್ಣಗೊಳಿಸುತ್ತೇನೆ","poornagolisuttene","will complete",""
"ರುಚಿಯಾದ","ruchiyaadha","delicious",""
"ಸ್ವಯಂಚಾಲಿತ","swayam chaalitha","automatic",""
"ಸುಗಂಧಕರವಾದ","sughandhakaravaadha","aromatic",""
"ಅಧಿಕೃತ","adhikrutha","authentic",""
"ತಾಜಾ","thaajaa","fresh",""
"ಬೆಂದಿರುವ","bendhiruva","boiled",""
"ಕಹಿ","kahi","bitter",""
"ಹುಳಿ","huli","sour",""
"ಆಶೀರ್ವಾದ","asheervaadha","blessings",""
"ಯಶಸ್ವಿಯಾಗಿದೆ","yashashviyaagidhe","successful",""
"ಆಕಸ್ಮಿಕವಾಗಿ","aakasmikavaagi","accidentally",""
"ಅನಿರೀಕ್ಷಿತ","anireekshitha","unexpected",""
"ನಂಬು/ನಂಬಿಕೆ","nambu/nambike","trust/ believe",""
"ವಿಶ್ವಾಸಾರ್ಹ","vishvaasaarha","trusted",""
"ಗುರುತಿಸು","guruthisu","identify",""
"ಮುಖ್ಯ/ಪ್ರಮುಖ","mukhya/pramukha","important",""
"ಪ್ರತಿಯೊಬ್ಬರು","prathiyobbaru","everyone",""
"ಅದ್ಭುತ","adhbhutha","amazing",""
"ಮಹಾನ್","mahaan","great",""
"ಅಸಮಾಧಾನ","asamaadhaana","upset",""
"ಸಂತೋಷ","santhosha","happy",""
"ದುಃಖ","dukha","sad",""
"ಶಾಂತ","shaantha","calm",""
"ಆರಾಮದಾಯಕ","araamadhaayaka","comfortable",""
"ಅವಿಶ್ವಸನೀಯ","avishwasaneeya","incredible",""
"ನಂಬಲಾಗದ","nambalaagadha","incredible",""
"ದುರಂತ","dhurantha","tragedy",""
"ಹಾಸ್ಯ","haasya","comedy/humour",""
"ವರ್ತನೆ","varthane","attitude",""
"ಸ್ಥಾನ","sthaana","position",""
"ಅದೃಷ್ಟವಶಾತ್","adrushtavashaath","fortunately",""
"ದುರದೃಷ್ಟವಶಾತ್","dhuradrushtavashaath","unfortunately",""
"ಅನಿರೀಕ್ಷಿತ","anireekshitha","surprise",""
"ಘೋಷಣೆ","ghoshane","announcement",""
"ಅಸಮಾನ್ಯ","asaamaanya","extraordinary",""
"ಗಮನಾರ್ಹ","gamanaarha","remarkable",""
"ಅತ್ಯುತ್ತಮ","atyuttama","outstanding",""
"ಚೆನ್ನಾಗಿ ಮಾಡಿದಿರಿ","chenaagi maadidhiri","well done",""
"ಅವಮಾನ","avamaana","insult",""
"ಪ್ರಶಂಸಿಸು","prashamshisu","appreciate",""
"ಒತ್ತಡ","otthada","stress",""
"ಸೋಂಕು","sonku","infection",""
"ಕೆಮ್ಮು","kemmu","cough",""
"ಗಾಯ","gaaya","injury/wound",""
"ಜವಾಬ್ದಾರಿ","javaabhdhaari","responsibility",""
"ಅನುಭವ","anubhava","experience",""
"ಸೃಜನಾತ್ಮಕ","srujanaathmaka","creative",""
"ಧನಾತ್ಮಕ","dhanaathmaka","positive",""
"ತರಬೇತಿ","tharabethi","training",""
"ಒತ್ತಡ","otthada","pressure",""
"ಹವ್ಯಾಸ","havyaasa","hobby",""
"ಅನ್ವಯಿಸು","anwayisu","applicable",""
"ಪರಿಣಾಮಕಾರಿ","parinaamakaari","effective",""
"ವೃತ್ತಿಜೀವನ","vrutti jeevana","career",""
"ನಾಯಕತ್ವ","naayakathwa","leadership",""
"ವೇತನ","vethana","salary",""
"ಗುಣಮಟ್ಟ","gunamatta","quality",""
"ಉದ್ಯೋಗ","udhyoga","occupation",""
"ಸಾಧನೆ","saadhane","achievement",""
"ಸಾಧನೆಗಳು","saadhanegalu","achievements",""
"ಆರಂಭಿಸಿ","aarambhisi","start",""
"ಆರಂಭಿಸಿದೆ","aarambhisidhe","started",""
"ಉದ್ದೇಶ","uddhesha","purpose",""
"ಸಮುದಾಯ","samudhaaya","community",""
"ಪ್ರತಿಸ್ಪರ್ಧಿ","pratispardhi","commutator",""
"ಸ್ಪರ್ಧೆ","spardhe","competition",""
"ನವೀನವಾದ","naveenavaada","innovative",""
"ಅವಕಾಶ","avakaasha","opportunity",""
"ಮಾತನಾಡು","maathanaadu","talk",""
"ಕಳುಹಿಸು","kaluhisu","send",""
"ಮಾಡಿದೆ","maadidhe","done",""
"ಒಳಗೆ","olage","inside",""
"ಹೊರಗೆ","horage","outside",""
"ಮೇಲೆ","mele","top",""
"ಕೆಳಗೆ","kelage","bottom",""
"ಬೆಳಿಗ್ಗೆ","beligge","morning",""
"ಮದ್ಯಾಹ್ನ","madhyaahna","afternoon",""
"ಸಂಜೆ","sanje","evening",""
"ರಾತ್ರಿ","raathri","night",""
"ಮಾಡಿ","maadi","make",""
"ಬೇಗ","bega","quick",""
